COUNTRY,Counts,dist_to_country_min,dist_to_country_max,dist_spread,variance,avg_pairwise,maxmin_pairwise,std_pairwise,median_pairwise,trans_avg_pairwise,trans_maxmin_pairwise,trans_quantile_pairwise,trans_std_pairwise,trans_median_pairwise,top5_cum_variance,num_cluster,cluster_ratio,GDP per person employed (constant 2005-2023 PPP $),eco_feature1,Sigmoid GDP per person employed (constant 2005-2023 PPP $),personality_index,Color_Flag,Annotation
Slovakia,505,0.0050459034159203,0.1153085197844482,0.1102626163685278,56.483557198181714,0.0451635251330878,0.2893277671820825,0.0262696493696114,0.0387131407120313,0.3083007805424781,6.193097160329838,1.7740341530414083,0.539956206441478,0.3075431555734566,0.6891879813673255,8.0,3.039632467002156,71679.76438,11.179963760534035,1.0,0.3075431555734566,No,
Peru,440,0.0023547299799525,0.7866220676606652,0.7842673376807127,64.48553585634731,0.0512911334175549,0.9995276895645386,0.0991300529696651,0.0311844638120274,0.2941652241241013,7.6578740863214,1.9983560134775,0.7220481930084214,0.2883643322648422,0.7661001478823343,6.0,2.7320247149769585,25306.20603,10.138804942263526,1.0,0.2883643322648422,No,
Iceland,376,0.0,0.6236896200840052,0.6236896200840052,56.41506568563173,0.0419023915987067,0.7281952331576759,0.0480442467230651,0.0347634021695432,0.2978836642622531,6.03694416520874,1.6502813780405328,0.5387833498529059,0.2976908028523977,0.7035628697027048,9.0,3.3818970295737394,104522.2248,11.557155005286308,1.0,0.2976908028523977,No,
Malta,336,0.0034090430637303,0.0672260054694077,0.0638169624056773,54.90104336815446,0.0390953220143746,0.1932032676111187,0.0209416688481602,0.0343719966153149,0.2964661950097824,4.859091650638522,1.700499614394524,0.5163549149135562,0.2966907325134731,0.6837721715798981,6.0,2.513096869893625,97152.50618,11.484037251487774,1.0,0.2966907325134731,No,
Ecuador,314,0.0030826151669008,0.101575054827075,0.0984924396601741,51.00608848964367,0.036969899561805,0.2059801373803312,0.0215206486737756,0.0317909579158295,0.2900724618148271,5.469930006694758,1.7958846836871998,0.5486228018628462,0.2899749815818761,0.6704811851250454,8.0,3.116161510002523,29156.10581,10.28041963159416,1.0,0.2899749815818761,No,
Dominican Republic,304,0.0027438384065922,0.0706067375924204,0.0678628991858282,47.93392607760988,0.0360017408544998,0.1738029352641851,0.0193431514232647,0.0314935860336613,0.2893880715518874,4.845682510299666,1.7018541260102116,0.5153722326970938,0.2891868938298634,0.6621046240131981,3.0,1.8465972153331245,43309.3863,10.676124664170619,1.0,0.2891868938298634,No,
Costa Rica,292,0.0029299311162224,0.1126212765111476,0.1096913453949252,53.06939115123019,0.040693909194893,0.2188583177760036,0.0232751944898791,0.0353349557048047,0.2988029969027115,4.238700506845531,1.775599273362772,0.540314566096491,0.2991430247771169,0.685477046287649,7.0,2.855174182661265,48109.61142,10.781237257753792,1.0,0.2991430247771169,No,
Nepal,283,0.0035477783846584,0.0676980253944358,0.0641502470097773,50.99620084052198,0.0334592037102307,0.1525517367537272,0.0175505712746726,0.0295243563297147,0.2838061596284427,4.697811086696031,1.661895114603713,0.5052102007407153,0.2838860822184934,0.6887355318544327,4.0,2.08358899408531,15292.92521,9.6351455958634,1.0,0.2838860822184934,No,
Panama,270,0.003807839081014,0.4423644704869973,0.4385566314059833,58.49957671957672,0.0431995823442827,0.5582971828649893,0.0467863193507837,0.0330128781342873,0.2963219519091896,5.235065074494186,1.8912842993184995,0.6143510130711992,0.2931814026742362,0.7135888500177388,3.0,2.053157084627838,63664.08074,11.061375800886564,1.0,0.2931814026742362,No,
Jordan,270,0.0,0.0609296332773733,0.0609296332773733,54.75520251145078,0.0380810262089078,0.1523017602380875,0.0194517093021945,0.033840861274477,0.2948542746768404,4.542267272076677,1.6502407772209875,0.5026840862370655,0.2953262006375398,0.683889355254025,8.0,3.0154679874187957,48035.82392,10.77970234318971,1.0,0.2953262006375398,No,
